,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
EURUSD_SIN_lag1d,-0.031210199,0.04482937,0.071681544,0.022247817,-0.058503002,-0.030790241,0.021315094,0.017548686,0.025561083,-0.018856283,0.016327148,0.029102033,-0.0044509983,-0.031107502,0.0040808422,0.047483284,0.04653307,-0.025893083,-0.02228469,-0.014842994,0.011989502,0.016256431,-0.016032727,-0.03619022,0.013822347,0.013009302,0.01780197
EURUSD_SIN_lag5d,-0.03011216,0.046632808,0.069596626,0.022884866,-0.05799192,-0.03222955,0.024046034,0.014325026,0.022991324,-0.0153541565,0.022875011,0.026322983,-0.0028603973,-0.024891745,0.011606129,0.050396424,0.048832767,-0.024693325,-0.023858348,-0.011188626,0.0032207824,0.00890289,-0.014282632,-0.036140356,0.0031667943,0.004856701,0.009758157
EURUSD_SIN_lag21d,-0.025583377,0.05277656,0.062315915,0.026337648,-0.05672335,-0.031294856,0.030606585,0.0040029916,0.017651118,-0.0045928736,0.030538632,0.019997219,0.008364353,0.004814603,0.028087713,0.052592564,0.04907946,-0.013972764,-0.043656953,0.0064682458,-0.016859489,-0.0004978913,-0.040694438,-0.01075242,-0.009153057,-0.027373968,-0.024715403
CNYUSD_SIN_lag1d,0.005607922,-0.081607275,0.006681446,0.033241842,0.027945958,0.025251139,-0.028594464,-0.030205488,-0.0018491138,0.012767701,-0.03185349,-0.038036037,-0.018414898,0.032169428,-0.011416353,0.0025631688,-0.0046521523,0.008886368,0.016799953,-0.017163422,-0.015320639,-0.0123236105,0.0402699,0.014933408,-0.0313135,0.011347175,-0.029546669
CNYUSD_SIN_lag5d,0.0046877298,-0.08171034,0.008867447,0.033282332,0.026144302,0.027382921,-0.029186785,-0.026833178,-0.0020587533,0.011425903,-0.03401401,-0.036374066,-0.018329507,0.03288513,-0.017337484,-4.125068e-05,-0.006267674,0.0037190635,0.01399481,-0.016045554,-0.014416854,-0.011144104,0.037997987,0.013768398,-0.025211109,0.011977159,-0.023581617
CNYUSD_SIN_lag21d,0.001041209,-0.08211959,0.013947959,0.03181912,0.014044074,0.026517153,-0.030536318,-0.016010359,-0.0029874367,0.0010186604,-0.030673282,-0.03916367,-0.02679999,0.023210546,-0.028695757,-0.0105782505,0.00023394296,-0.0120375,0.026753306,-0.010154022,-0.02325935,-0.0021544185,0.03611103,-0.012896996,-0.0152755845,0.03114671,-0.0059847236
USD_Index_DXY_lag1d,0.041582663,-0.058211826,-0.049059834,-0.02086981,0.049820323,0.020949218,-0.030814076,-0.012623435,-0.018853819,0.01762027,-0.011427808,-0.030291889,0.004920157,0.027556043,-0.004620951,-0.035985492,-0.043033794,0.015957972,0.019801497,0.010790114,-0.010161567,-0.015229088,0.016000379,0.03742203,-0.015290658,0.0037740727,-0.008003054
USD_Index_DXY_lag5d,0.040541593,-0.059644233,-0.04749462,-0.020219425,0.0500943,0.021298194,-0.03256119,-0.010644708,-0.01777345,0.016138205,-0.015763097,-0.030006686,0.004773573,0.020661877,-0.012310483,-0.03908611,-0.046778332,0.015852464,0.019904193,0.008991132,-0.010851282,-0.012172267,0.01491166,0.03415872,-0.012335386,0.0045778053,-0.0047713295
USD_Index_DXY_lag21d,0.036448922,-0.0644116,-0.04047298,-0.021265987,0.04662625,0.021647338,-0.037195936,-0.0026867765,-0.013512305,0.009473848,-0.023030106,-0.029179325,-0.0029334063,-0.0073385527,-0.03049107,-0.048109867,-0.047828414,0.0058852835,0.028920956,-0.0019404946,0.002697649,-0.0013546486,0.026136799,0.0074213026,0.0040894314,0.01725669,0.022319123
VIX_lag1d,-0.03375484,0.0054905484,-0.047563776,-0.026745401,0.060661256,-0.06433666,0.03883911,0.038826454,0.0968508,-0.0214093,0.019761587,0.026887912,0.04837054,-0.0011611644,0.07980962,0.0062112184,0.038055267,-0.06262061,-0.046631217,0.012438492,-0.049872868,0.0036188813,0.06271615,0.023510186,-0.025189782,0.07479706,-0.015852593
VIX_lag5d,-0.033999402,0.005530662,-0.043830775,-0.028881678,0.063455805,-0.05300009,0.03516451,0.044263817,0.1076917,-0.0057063242,0.009841613,0.037000477,0.056107346,0.009156214,0.06451959,0.0033015208,0.032573473,-0.057956964,-0.043970764,0.013681738,-0.04684406,0.0110817645,0.061064918,0.03883525,0.0029864977,0.038073026,-0.03170015
VIX_lag21d,-0.032326337,0.0056190547,-0.028669653,-0.041440167,0.048642557,-0.018482465,0.009648671,0.04159786,0.12537318,0.016922832,0.014067946,0.071966745,0.037139412,0.017872943,-0.057958096,0.0021501782,0.014563272,0.002681762,0.043616235,0.07277292,-0.015570098,0.053963795,-0.09012775,0.025714593,0.04150316,-0.034312367,0.023891058
VHSI_lag1d,0.005718954,-0.018417202,-0.050233882,-0.038882185,0.08147152,-0.035190452,0.012324266,0.034494106,0.07503096,-0.0065478534,0.0076898187,-0.03158293,0.0042112796,-0.012098338,0.05471854,-0.011389804,0.07258744,-0.048292466,-0.042085055,0.014339731,-0.103651784,0.04030183,0.087336995,0.07952593,-0.02967672,0.06301114,0.0068789506
VHSI_lag5d,0.0057458077,-0.018724598,-0.045878418,-0.038780417,0.083177306,-0.021917606,0.009947498,0.038941346,0.083755426,0.0053644385,0.0026867886,-0.02417421,0.012454006,-0.010123324,0.04040355,-0.010568227,0.05417721,-0.03273416,-0.04002694,0.009630104,-0.08597965,0.045200817,0.08572519,0.07933132,-0.0007407706,0.012989359,-0.011931639
VHSI_lag21d,0.0065037054,-0.021088487,-0.034911558,-0.039563037,0.064404316,0.0019406872,-0.012576827,0.043449823,0.10033746,0.00070253987,0.008553933,0.0027495287,0.023068119,-0.007923493,-0.059665956,0.025078762,-0.00094200973,0.036106504,0.056173146,0.045010082,-0.014245877,0.0964562,-0.050183877,0.019511763,0.030740108,-0.049723987,0.006444746
VSTOXX_lag1d,-0.02827572,0.010726669,-0.048524834,-0.032230865,0.06725901,-0.05633214,0.04274912,0.040297057,0.09782452,-0.027523797,0.01932447,0.02677398,0.024940446,0.013403117,0.100793175,0.012446145,0.060824703,-0.048813846,-0.033387806,0.026048,-0.043308236,-0.005034456,0.066297114,0.0063668047,-0.025576139,0.059591934,-0.0057688276
VSTOXX_lag5d,-0.028317846,0.010701664,-0.04568065,-0.033861082,0.06934171,-0.045852873,0.03704987,0.04514083,0.110172406,-0.016176388,0.008802017,0.03336203,0.033109136,0.021956496,0.085019685,0.011169087,0.0551456,-0.044914808,-0.03359427,0.02888288,-0.04593192,0.003889603,0.06741235,0.01992048,0.0004229941,0.02076404,-0.017816376
