,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
Cape_PortCongestion_pct_fleet_lag5d,-0.014261944,0.061556704,-0.046818797,-0.034581102,-0.00084216736,-0.012446537,0.06077981,-0.0223389,0.012083913,-0.050589032,-0.029387914,0.010938708,0.003113522,-0.022858795,-0.025546318,0.034346074,-0.06874934,0.026118169,-0.018765869,0.019713296,0.0045927786,0.0070619485,0.010086835,-0.032245193,-0.0023117226,0.035823613,-0.06595268
Cape_PortCongestion_pct_fleet_lag10d,-0.01395312,0.06054941,-0.048542593,-0.034406703,0.00344788,-0.016744515,0.058742676,-0.021392439,0.01632044,-0.035732355,-0.02052172,0.022046981,0.0038903726,-0.020782938,-0.013892597,0.04480709,-0.07108404,0.035068147,-0.008413894,0.046167698,-0.0040847166,-0.013392916,0.010680529,-0.023976628,0.007263658,0.04125097,-0.012513515
Cape_PortCongestion_pct_fleet_lag21d,-0.013586967,0.058388934,-0.05092719,-0.033126704,0.010393392,-0.016443465,0.052396636,-0.024133869,0.028465068,-0.01586674,-0.014380388,0.04349357,-0.008933832,-0.017890414,0.0036217656,0.020296792,-0.0503509,0.04478249,-0.0151731735,0.061416235,-0.044529404,-0.02796715,-0.01302962,-0.038579,0.02876488,-0.009563834,-0.053584233
Cape_PortCongestion_CHN_mDWT_lag1d,-0.017866211,0.02910801,-0.00218449,0.0064217392,-0.058254886,0.061447065,0.0890388,-0.007424606,0.024352135,-0.093708426,0.07976171,0.027510662,0.027257964,-0.038960878,-0.052880213,0.05645944,-0.0052491724,-0.06238306,-0.049254633,-0.024982681,0.03242767,-0.054591153,0.009829153,-0.034022234,0.0018928632,-0.022389727,-0.0378257
Cape_PortCongestion_CHN_mDWT_lag5d,-0.017996114,0.028716462,-0.006493411,0.002363449,-0.061642624,0.053284667,0.08904656,-0.018529817,0.01944484,-0.09186467,0.09643177,0.03339859,0.028694652,-0.026523314,-0.048648298,0.059628528,-0.010363659,-0.05334,-0.049800362,-0.019183755,0.01020641,-0.025857136,0.0076564676,-0.017857295,-0.0048018764,-0.013884069,-0.067180306
Cape_PortCongestion_CHN_mDWT_lag10d,-0.018336011,0.02870123,-0.009815679,-0.00030883253,-0.056676157,0.042919297,0.09252332,-0.02369516,0.006070695,-0.08297365,0.112664536,0.044062365,0.031032117,-0.013447004,-0.02921896,0.05602566,-0.019840132,-0.038222853,-0.04689753,0.0026988462,-0.019046599,-0.0030598931,0.0030801815,-0.004050944,-0.0016141777,0.0011665382,-0.04596261
Cape_PortCongestion_CHN_mDWT_lag21d,-0.018369358,0.028017001,-0.012247687,-0.0067578605,-0.041213892,0.027425878,0.09699678,-0.023690967,-0.011346919,-0.07418753,0.106476724,0.059476808,0.022952951,0.0070215054,0.02926206,-0.0037860926,-0.015711201,-0.018128859,-0.07040464,0.021701366,-0.059268795,0.031185174,-0.027936144,0.004004245,0.051508304,-0.021017952,-0.059103444
Platts_HFO380_SIN_ext_USD_t_lag1d,0.07514971,0.0120891025,-0.0019639623,-0.025026422,0.011550131,0.036895227,0.0045197285,-0.062702574,-0.0083077885,-0.030280387,-0.0024659527,0.001635655,-0.015884388,0.008748991,0.0680885,0.052967977,0.023232987,0.0018494433,0.030733807,-0.0058814995,-0.026041225,0.0050819116,-0.021260196,-0.011344573,0.02648892,-0.018464359,0.01398684
Platts_HFO380_SIN_ext_USD_t_lag5d,0.07542818,0.010405527,-0.0089176595,-0.014521318,0.012865373,0.019493006,0.001744671,-0.06578014,-0.01259599,-0.046868965,0.0066528423,-0.0025922915,-0.007953901,0.014749853,0.054837707,0.06167908,0.033626385,0.017965026,0.031466193,-0.01028179,-0.023288961,0.006980959,-0.03546996,-0.013613745,0.014439655,0.00046747166,0.027349463
Platts_HFO380_SIN_ext_USD_t_lag21d,0.074128516,0.0040319166,-0.026393976,0.011912961,0.018044118,-0.001032265,-0.004812782,-0.05745744,-0.020647025,-0.03810557,-0.0036375262,0.0229578,0.033704862,0.04591329,0.049891002,0.04995035,3.546961e-05,0.021630399,-0.009981512,0.014765266,-0.018199135,0.013768212,0.021787575,-0.026029594,0.020116955,-0.042945527,6.0263856e-06
Bunker_HSFO380_CLRK_W_USD_t_lag1d,0.073800854,0.011340343,-0.005837534,-0.020780636,0.011020481,0.029223341,0.0031219972,-0.065825865,-0.011368949,-0.04200197,0.002580153,-0.0010702318,-0.010373617,0.010919668,0.055980757,0.059339587,0.030949246,0.015443683,0.037650943,-0.011731885,-0.021163095,0.0028469355,-0.041761167,-0.014231575,0.015098381,0.0004677574,0.022517897
Bunker_HSFO380_CLRK_W_USD_t_lag5d,0.073867664,0.009702065,-0.011560215,-0.012027097,0.013035574,0.015346977,0.00088313775,-0.065703,-0.01587652,-0.05194513,0.0071905055,0.00017257195,-0.0013574808,0.020829026,0.04779498,0.060629036,0.033846427,0.027996905,0.029316261,-0.004698463,-0.023835141,0.008418066,-0.030869892,-0.011458612,0.00945343,0.009297477,0.02540919
Bunker_HSFO380_CLRK_W_USD_t_lag21d,0.07218561,0.0034103822,-0.027666926,0.012304933,0.018091267,0.00077361526,-0.005394516,-0.05743863,-0.022514472,-0.037440386,-0.0064651216,0.02673131,0.036196157,0.047694247,0.049186166,0.04507909,-0.0023881483,0.020114003,-0.010354328,0.018831369,-0.014903137,0.007412687,0.023291674,-0.026563892,0.018557156,-0.04259645,-0.006673525
Bunker_MGO_CLRK_W_USD_t_lag1d,0.06444316,0.0038454593,-0.048930917,-0.03912419,0.038707808,0.030418135,-0.047441542,-0.04017735,-0.038645737,-0.030495422,-0.0010183086,0.017321905,0.041776244,0.0029107349,-0.0046989145,-0.012344962,0.029762387,-0.02099344,0.03547636,0.015719002,0.0009430545,-0.019393751,-0.0019802274,0.008991353,-0.015439944,0.0029203964,0.0076032053
Bunker_MGO_CLRK_W_USD_t_lag5d,0.06403722,0.0020322427,-0.05222914,-0.03430219,0.039599184,0.021377295,-0.04892285,-0.039758027,-0.041363508,-0.033786565,0.002747231,0.013767226,0.04006991,0.002019482,-0.009639534,-0.013937436,0.026519317,-0.02250366,0.028436046,0.023159614,-0.00015376683,-0.019078791,0.0024640001,0.01094496,-0.013114286,0.0027189911,0.00942169
Bunker_MGO_CLRK_W_USD_t_lag21d,0.061291344,-0.0048299986,-0.06177062,-0.023355957,0.040840767,0.006003923,-0.051881738,-0.029793963,-0.04515913,-0.017258435,-0.004972743,0.014563176,0.035115875,-0.0015029295,-0.008864741,-0.029838825,-0.009846971,-0.044304706,0.006825154,0.04443182,-0.00023633262,-0.01906031,0.017472642,-0.006503709,0.0065288674,-0.041316126,-0.003969835
Brent_Crude_USD_bbl_lag1d,0.074342355,0.014962409,-0.029656816,-0.038229387,0.021614116,0.03701225,-0.029006192,-0.035548195,-0.03485574,-0.015053868,-0.009166475,0.0108885085,0.030050963,0.016784715,0.009894254,-0.019905923,0.0065872283,-0.0053586215,0.013456499,0.0169932,0.012697698,-0.0087962,0.002711345,0.0048283786,-0.010281354,-0.0011090796,0.00024211874
Brent_Crude_USD_bbl_lag5d,0.07445918,0.013023696,-0.035240278,-0.03160317,0.022192698,0.021580102,-0.030640002,-0.03724567,-0.037704136,-0.029111648,-0.00078719127,0.0030215005,0.021081079,0.009499149,0.0052176937,-0.01280589,0.01071521,-0.010548444,0.026649978,0.013494383,0.01656357,-0.013560985,-0.014609668,0.008288922,-0.018509958,0.01578272,0.011131394
Brent_Crude_USD_bbl_lag21d,0.07288255,0.005693029,-0.0494199,-0.017158533,0.024879385,-0.0022436217,-0.032283235,-0.02842111,-0.041427776,-0.022749307,-0.0040816804,0.008365143,0.010541455,0.0023744865,0.014163473,-0.017618077,-0.018805187,-0.030162277,0.012733268,0.034892008,0.0019972979,-0.01647522,0.016006771,0.0026733445,0.00022538666,-0.02968719,-0.0077519948
Brent_1M_USD_bbl_SIN_lag1d,0.07377237,0.014094298,-0.032306924,-0.034629125,0.021442784,0.02766663,-0.029973093,-0.037507318,-0.036094606,-0.02573541,-0.002933578,0.0042525507,0.025407588,0.010809044,0.0047341944,-0.013094559,0.0121959755,-0.007136738,0.025885552,0.010626989,0.018407987,-0.0137282405,-0.016434215,0.0058603506,-0.018254433,0.01482551,0.010805898
Brent_1M_USD_bbl_SIN_lag5d,0.07365566,0.012154963,-0.037163343,-0.029205669,0.022118263,0.014758398,-0.031293765,-0.036754236,-0.038303792,-0.03465901,0.0013055068,0.0011083611,0.019405574,0.008858915,0.0035465283,-0.012194334,0.012565897,-0.010254174,0.02830816,0.016956791,0.014915688,-0.009926842,-0.012340476,0.011706554,-0.020153642,0.01981199,0.010156595
